n_components,n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
200,50,10.0,2,log2,2,0.7258883248730964,0.6904441407948559,0.8918464488271439,0.7560975609756098,0.563683032989502,0.028653621673583984
200,50,10.0,5,sqrt,1,0.7233502538071066,0.6817652423864515,0.900082550986617,0.7655052264808363,1.0447542667388916,0.029896974563598633
200,50,10.0,5,sqrt,2,0.700507614213198,0.6623877342113066,0.8837179140507829,0.775609756097561,1.0049102306365967,0.027365922927856445
200,50,10.0,5,log2,1,0.7131979695431472,0.6751601973983914,0.8926329417269258,0.7470383275261324,0.6719858646392822,0.029255151748657227
200,50,10.0,5,log2,2,0.7461928934010152,0.7063591806236902,0.8912665677728497,0.745993031358885,0.5822179317474365,0.027837038040161133
200,100,,2,sqrt,1,0.7893401015228426,0.7387255685483849,0.9649268212826524,0.8174216027874565,2.99592924118042,0.041786909103393555
200,100,,2,sqrt,2,0.7791878172588832,0.7343844280760934,0.945054581589579,0.8121951219512195,2.797760009765625,0.03739213943481445
200,100,,2,log2,1,0.7766497461928934,0.730516704143948,0.9603113682169733,0.8104529616724738,2.495605945587158,0.06707596778869629
200,100,,2,log2,2,0.7868020304568528,0.7343561365687855,0.956945228594009,0.8128919860627178,2.5768070220947266,0.04195713996887207
200,100,,5,sqrt,1,0.7842639593908629,0.739098846350612,0.9617923595187984,0.8174216027874565,4.211903095245361,0.05032992362976074
200,100,,5,sqrt,2,0.7715736040609137,0.7215858237798379,0.9446147423067441,0.8059233449477352,4.939018964767456,0.12703633308410645
200,100,,5,log2,1,0.7918781725888325,0.7469373367055501,0.9625511249909855,0.8128919860627178,2.5371477603912354,0.03991508483886719
200,100,,5,log2,2,0.7817258883248731,0.7328665354370264,0.9511727487037263,0.81602787456446,1.5684337615966797,0.03856515884399414
200,100,10.0,2,sqrt,1,0.7639593908629442,0.7259887181931213,0.9218158782557617,0.7721254355400696,2.0481338500976562,0.04068398475646973
200,100,10.0,2,sqrt,2,0.733502538071066,0.6994994329809867,0.9008819595258367,0.7742160278745643,1.98307204246521,0.054347991943359375
200,100,10.0,2,log2,1,0.7563451776649747,0.7185931119035053,0.9147114990617375,0.7724738675958187,1.1304638385772705,0.037543296813964844
200,100,10.0,2,log2,2,0.7411167512690355,0.7088633443245954,0.8948935708139014,0.7710801393728223,1.155817985534668,0.05690908432006836
200,100,10.0,5,sqrt,1,0.7385786802030457,0.6964667284537359,0.9056547104189215,0.7735191637630663,2.0257248878479004,0.04246115684509277
200,100,10.0,5,sqrt,2,0.7258883248730964,0.6840595345170383,0.8936236832241053,0.7763066202090592,1.9912290573120117,0.037626028060913086
200,100,10.0,5,log2,1,0.7360406091370558,0.6970541596185532,0.9042899513780512,0.7606271777003485,1.1455788612365723,0.04156684875488281
200,100,10.0,5,log2,2,0.7360406091370558,0.6987028548801414,0.8941377012433998,0.7571428571428571,1.1081750392913818,0.050560951232910156
300,50,,2,sqrt,1,0.7690355329949239,0.7236429852345916,0.951821837312713,0.7804878048780488,1.934743881225586,0.029731035232543945
300,50,,2,sqrt,2,0.766497461928934,0.7141085062155214,0.945132767482326,0.7888501742160278,1.7499289512634277,0.025260210037231445
